business_name,business_url,business_avg_monthly_sales,business_avg_net_revenue,business_sub_start_date,business_sub_end_date,subscription_name,subscription_order_max,subscription_monthly_price,subscription_yearly_price,internal_order_number,order_total,order_subtotal,order_tax,order_shipping_amount_paid,order_shipping_cost,order_product_cost,order_total_refund,order_creation_date,order_fulfilled_date,order_cancellation_date,order_financial_status,order_discount_amount,order_discount_code,order_country,order_state,order_zip,order_address1,order_address2,order_billing_country,order_billing_state,order_billing_zip,order_billing_address1,order_billing_address2,lineitem_title,lineitem_sku,lineitem_gross_revenue,lineitem_net_revenue,lineitem_discount_amount,lineitem_quantity,linetem_tax,lineitem_cost,customer_name,customer_email,customer_phone,customer_first_order_date,customer_last_order_date,customer_avg_ltv,customer_address1,customer_address2,product_title,product_amount,product_cost,product_description,product_sku
Smith-Shea,https://king.com/,941230.3229274623,718411.283102339,2023-01-29 00:00:00,2024-01-06 00:00:00,Premium,240,31,372,11101,22.850974312870765,18.746555398191294,12.52899965356037,15.420995431140499,4.407705639958293,6.014522294645844,14.186272624521681,2020-08-10 00:00:00,2020-08-13 00:00:00,2020-08-12 00:00:00,Paid,13.79616775311131,want,BR,Alaska,65913,891 Owens Gardens Suite 998,Apt. 852,TT,Hawaii,30044,66161 Anna Springs,Apt. 763,choose,thing,156.02204913992568,149.2862952259821,16.513230279785528,4,2.659171578540068,29.895704608756205,Hannah Conley,csmith@example.net,(355)369-1067x582,2021-03-31 00:00:00,2021-10-20 00:00:00,1719.5464971640113,04734 James Turnpike,Apt. 466,course,178.45470862177388,11.321010119038675,Walk building tree ability according best require site consider answer least.,recognize
Smith Group,http://www.cook.biz/,152798.4527795682,223001.9578667366,2022-05-14 00:00:00,2023-04-12 00:00:00,Ultra,368,98,1176,730674,162.97329705448416,159.56537855626402,1.1774794951494727,19.591467367071306,2.9538693206426214,11.242871106318265,15.117176435177289,2021-02-23 00:00:00,2021-02-24 00:00:00,2021-03-01 00:00:00,Refunded,15.569494866746656,room,AR,Minnesota,05752,635 Fred Locks,Suite 607,SE,Arizona,57315,8995 Harrison Crest,Apt. 406,often,western,120.10065126040121,119.09250833221016,6.949629859751417,3,5.351072949788877,15.1462528727066,Cheryl Taylor,blong@example.net,488.727.0987x70146,2022-03-09 00:00:00,2022-04-17 00:00:00,1237.0981243424808,256 Daniel Oval Suite 999,Suite 989,right,252.08015837638123,6.529302110107153,Center church power medical news culture.,generation
Rice-Carter,http://www.johnston-friedman.org/,799784.8468208668,584003.8614263282,2021-07-25 00:00:00,2021-10-01 00:00:00,Standard,122,83,996,804686,112.74813524510702,106.23114615699346,22.931845726538192,17.30530293244793,4.830110994792755,11.377318366873196,14.713358998357819,2021-03-04 00:00:00,2021-03-07 00:00:00,2021-03-17 00:00:00,Paid,17.516835783963874,explain,DK,Virginia,57866,87390 David Bridge,Suite 214,US,Arkansas,26190,5024 Ramirez Plains Apt. 554,Apt. 290,society,add,117.71189610494959,112.15958257473619,0.045269665236808976,4,9.602159076997573,17.23557611139337,John Miller,villarrealkelsey@example.net,309.200.0834x54406,2022-02-15 00:00:00,2022-10-09 00:00:00,709.6914884860728,9160 Christopher Field,Apt. 894,happy,98.38034808772142,13.202284210165994,Risk detail similar what instead your rest data success.,decision
"Robinson, Hood and George",http://blankenship-fischer.com/,369827.47242753993,747091.2830593766,2021-12-12 00:00:00,2022-06-24 00:00:00,Standard,122,83,996,120288,81.37251925194461,73.30091113798936,25.573416029359635,7.856083211992646,3.6258343070939025,9.685296722892208,15.239706161184257,2021-10-05 00:00:00,2021-10-06 00:00:00,2021-10-08 00:00:00,Pending,7.174892595963643,discover,VU,Minnesota,74130,6005 Marsh Gateway Suite 285,Apt. 129,TL,Oregon,04013,28081 Jessica Green Apt. 323,Suite 086,begin,maybe,11.324246789232319,7.493467642722773,11.99027417207098,1,7.766527756841363,19.50453390958409,Tonya Mueller,annette31@example.org,001-439-220-4646x668,2021-02-25 00:00:00,2021-11-26 00:00:00,1677.2955467668842,20709 Deborah Spurs,Apt. 959,along,334.1069980966031,10.760419239396832,Weight Mr behavior culture see society defense appear give.,how
Smith Ltd,http://www.wolfe.info/,104507.69035604266,417591.2983027111,2021-09-13 00:00:00,2021-12-15 00:00:00,Premium,240,31,372,504505,108.39056045247555,101.14099926910916,15.322652124692627,1.9646894670865245,0.7614148125456244,13.105356508499263,1.0498423984543237,2023-05-21 00:00:00,2023-05-22 00:00:00,2023-05-24 00:00:00,Pending,11.756360974387238,range,CA,Nebraska,04722,8226 Deborah Islands Apt. 263,Suite 964,ME,Rhode Island,99483,94654 Christopher Club,Suite 786,how,they,211.73263220433373,206.036705466026,3.5603842108826433,4,4.147669454088225,28.697129042637304,Audrey Smith,tjuarez@example.com,(769)576-3701x38827,2023-06-08 00:00:00,2023-12-16 00:00:00,928.4709403743258,389 Terry Dale,Suite 212,suggest,348.20369550183955,28.355314670203416,Mission tree floor one already peace country keep claim order help challenge.,owner
Thompson-Martinez,https://wright.biz/,273300.4990956572,301517.95748090016,2023-02-15 00:00:00,2023-04-08 00:00:00,Standard,122,83,996,565912,83.82762941765364,80.22264425514979,22.35986909681654,19.7800986783634,1.1559956182557158,9.314798650023224,14.577631057226041,2023-06-14 00:00:00,2023-06-21 00:00:00,2023-06-22 00:00:00,Pending,15.021627681743928,bed,LB,Idaho,39078,5021 Kayla Vista,Suite 266,KH,New York,66726,673 Davis Prairie Suite 342,Suite 095,sound,value,203.50177945219139,199.24374539123565,23.66910974514138,4,4.8444093635675785,19.306394674242046,Heather Brown,martintheresa@example.org,961-293-2599x85873,2020-09-20 00:00:00,2021-08-22 00:00:00,1162.4388522813788,347 Douglas Parks Apt. 290,Suite 331,near,425.0713169659624,26.186002364698417,Test sell one three shake smile boy.,life
Dawson Inc,https://www.morales.com/,140264.98089834966,212466.33272865793,2021-05-30 00:00:00,2021-07-17 00:00:00,Standard,122,83,996,574873,25.81497427842686,19.31165028120169,27.4906420282859,0.5751221764008196,1.4618717770354706,12.453924546054903,5.653285153033152,2022-12-16 00:00:00,2022-12-21 00:00:00,2022-12-30 00:00:00,Paid,3.6607559867221307,house,MZ,Mississippi,53039,537 Monique Well,Apt. 237,TM,Indiana,33754,14380 Thompson Extension,Apt. 366,career,finally,280.9895153819574,274.261355589905,10.079632039178566,4,2.921384544312644,11.703453438237005,Samantha Nguyen,rollinsjaclyn@example.com,944-317-8174x086,2023-07-25 00:00:00,2024-03-03 00:00:00,1232.937134018695,5848 Perez Gardens Suite 601,Suite 272,out,310.2501239921818,19.550609202132897,Article up pretty prove environment little down company wrong imagine strong military.,first
Cortez-Gomez,https://www.mejia.info/,208497.71270604315,305222.70744041307,2020-09-25 00:00:00,2020-12-11 00:00:00,Standard,122,83,996,124272,22.402219884070135,13.683727789613652,24.3091717272833,1.0838025869411139,0.7583736743590946,7.705888950613353,17.13807505857995,2021-03-20 00:00:00,2021-03-26 00:00:00,2021-04-03 00:00:00,Paid,11.365713913020965,beat,MK,Texas,24345,71888 Smith Well Apt. 351,Apt. 768,CV,California,11681,5150 Daniel Flat,Suite 837,contain,society,100.22506943903207,97.31818310306126,26.76828105383006,5,6.126751219918124,12.827328312276439,Dale Huerta,ypowers@example.org,857-861-2112x01866,2022-07-23 00:00:00,2023-02-05 00:00:00,1845.3657032697226,03886 Wyatt Plaza,Apt. 113,season,431.8554999064969,7.875489665941824,Act none health common world home national newspaper score a dark.,area
Freeman Ltd,https://thompson.biz/,804061.524042179,368308.69785150693,2020-06-24 00:00:00,2020-12-30 00:00:00,Ultra,368,98,1176,554642,40.93192657861189,31.62495159921846,2.334450631385656,1.0174099454063912,1.632325962935256,6.186974188406965,10.722652438052078,2021-05-11 00:00:00,2021-05-16 00:00:00,2021-05-19 00:00:00,Refunded,16.577696065807814,section,FR,Rhode Island,22068,9064 Jones Fort Suite 840,Apt. 481,ST,Montana,06102,072 Crystal Loop Apt. 774,Apt. 701,game,value,39.72298687235731,37.615917067773694,0.9761492130897331,4,8.426477439394152,15.751582063745893,Kenneth King,mitchell51@example.com,(629)715-2376x25270,2022-09-03 00:00:00,2023-04-29 00:00:00,1197.8148675114928,1102 Stewart Wells Apt. 816,Suite 089,now,110.98868731121824,17.279793465196384,Father day town test three large.,direction
Thompson-Scott,http://www.love-price.biz/,457044.03910277295,252684.67944632887,2021-12-23 00:00:00,2022-11-09 00:00:00,Standard,122,83,996,442650,183.2568467476902,178.2178812426203,27.19772248649834,5.403472343422755,0.6183098445686069,7.895042850672538,17.478406433267473,2020-02-03 00:00:00,2020-02-08 00:00:00,2020-02-04 00:00:00,Refunded,11.588748800477768,not,SV,Nevada,45419,912 Paul Forge Apt. 003,Apt. 552,BW,Connecticut,94704,464 Salas Dale,Apt. 060,heart,quite,265.65920546764335,265.28511448546226,10.538674362304027,1,2.268565202774133,18.92773198154725,Jeff Sanchez,lvincent@example.org,784.468.5851x75857,2020-09-20 00:00:00,2021-04-12 00:00:00,631.2552997199407,0595 Ashley Landing Suite 435,Apt. 090,identify,471.4993895636242,22.38541713284991,Professional key senior of against sure interest sort.,born
