Business_Name,Business_URL,Business_Avg_Monthly_Sales,Business_Avg_Net_Revenue,Business_Sub_Start_Date,Business_Sub_End_Date,Subscription_Name,Subscription_Order_Max,Subscription_Monthly_Price,Subscription_Yearly_Price,Order_Total,Order_Subtotal,Order_Tax,Order_Shipping_Amount_Paid,Order_Shipping_Cost,Order_Product_Cost,Order_Total_Refund,Order_Creation_Date,Order_Fulfilled_Date,Order_Cancellation_Date,Order_Financial_Status,Order_Discount_Amount,Order_Discount_Code,Order_Country,Order_State,Order_Zip,Order_Address1,Order_Address2,Order_Billing_Country,Order_Billing_State,Order_Billing_Zip,Order_Billing_Address1,Order_Billing_Address2,Lineitem_Title,Lineitem_Sku,Lineitem_Gross_Revenue,Lineitem_Net_Revenue,Lineitem_Discount_Amount,Lineitem_Quantity,Linetem_Tax,Lineitem_Cost,Customer_Name,Customer_Email,Customer_Phone,Customer_First_Order_Date,Customer_Last_Order_Date,Customer_AVG_LTV,Customer_Address1,Customer_Address2,Product_Title,Product_Amount,Product_Cost,Product_Description,Product_Sku
Foster Ltd,http://green-valdez.info/,211998.37993768346,251228.79866941005,2023-06-17 00:00:00,2024-03-30 00:00:00,Ultra,257,50,600,93.32755784962578,90.24489039516646,19.678913011911472,15.325371214488088,2.4393885226231875,7.778983714914952,14.051554456665265,2023-02-24 00:00:00,2023-03-02 00:00:00,2023-03-10 00:00:00,Paid,7.5127292020602,personal,MK,Kansas,55572,355 Shelly Land Suite 162,Apt. 362,UZ,Minnesota,98704,858 Carmen Turnpike,Apt. 867,front,avoid,262.62121660447,261.50752752813946,17.05661366412955,1,6.782276398664642,29.86623953804137,Jaclyn Wood,thomasbrent@example.org,746-628-1938x33092,2020-10-27 00:00:00,2021-08-29 00:00:00,626.4864163016198,22202 Lewis Trace Suite 589,Apt. 295,usually,247.99846942600038,16.59947169865276,Law available pass play actually public people her college hotel.,spring
Miller Ltd,http://www.taylor.com/,924809.847542975,360336.9878382286,2021-08-18 00:00:00,2022-01-23 00:00:00,Standard,355,34,408,49.67629448430061,44.111371411924196,18.69626923241169,11.658686553184728,4.440605699842128,5.030664017491441,7.325773144447563,2020-04-02 00:00:00,2020-04-04 00:00:00,2020-04-14 00:00:00,Refunded,15.996482636752475,character,PH,New Jersey,11323,892 Daniel Circles Apt. 863,Apt. 650,LV,Wisconsin,49153,326 Jonathan Cape,Apt. 667,it,medical,55.76747468152563,47.187276395010684,15.60414426666915,2,9.78715251251473,14.362121661240725,Helen Montes,yblackwell@example.org,(514)212-8124x5580,2021-06-20 00:00:00,2022-03-03 00:00:00,1378.2372183393784,72117 Colleen Spurs,Suite 496,degree,458.206888259427,24.449224488178853,Whether region former well team any key including short American alone forward age.,trouble
Leon Group,http://crawford.org/,895739.3458069199,213640.9528621269,2021-08-14 00:00:00,2022-06-04 00:00:00,Premium,147,28,336,62.00854845847849,52.07507575870252,17.39818778949595,14.855941982787314,1.9447509207019453,8.482728803534261,0.551946958240237,2023-06-01 00:00:00,2023-06-05 00:00:00,2023-06-15 00:00:00,Pending,2.4953933506557324,two,KW,Massachusetts,18068,779 Joyce Spurs Apt. 051,Apt. 343,CU,Kentucky,04406,22194 Foster Brook Apt. 146,Apt. 127,act,wonder,247.3663070166718,240.1435958849948,28.263350772225056,5,7.626695169678117,12.515502523139666,Michelle Rodriguez,shawnbrown@example.com,362.732.9161x181,2020-02-28 00:00:00,2020-11-05 00:00:00,421.1793017891659,86986 Carrie Center,Suite 859,understand,10.592096359896896,9.828777937486237,Develop before language public contain tell to edge.,ask
Pearson LLC,http://www.fisher.com/,754400.055091202,419689.4372543204,2020-06-08 00:00:00,2021-06-04 00:00:00,Premium,147,28,336,27.089178072980747,25.50190477442668,20.603093705108908,10.290564631199622,1.0994237509941311,9.995710193365658,0.8532275642872311,2021-12-18 00:00:00,2021-12-23 00:00:00,2021-12-25 00:00:00,Refunded,7.047224335921902,according,SM,California,36361,80398 Christensen Gateway,Suite 038,ZA,Arkansas,83671,367 Dawn Stravenue Suite 269,Suite 259,guy,pick,242.0018488117029,233.55262723644918,21.976398830270043,1,5.109658031317793,20.50854619693783,Timothy Johnson,ann90@example.com,827.446.0803x6206,2022-05-08 00:00:00,2023-01-29 00:00:00,158.29764739934492,90436 Reid Ferry,Suite 085,network,259.20413052871055,29.1704115583684,Black rule collection white sign star.,why
Martin Inc,http://hoffman.info/,449958.5952406319,739294.8964320365,2020-11-18 00:00:00,2021-06-11 00:00:00,Ultra,257,50,600,41.21462933216074,37.19844235444374,7.2324120542104655,1.0626105144693665,0.14189151429367886,12.129566968146214,12.048875683944294,2022-07-14 00:00:00,2022-07-18 00:00:00,2022-07-19 00:00:00,Paid,15.199212699562068,include,AG,Rhode Island,66865,193 Moore Spur Apt. 410,Suite 825,KP,Idaho,78351,9185 Dean Highway,Apt. 807,story,beautiful,50.70531236218565,44.7292540625684,5.2158288693477095,5,3.321364706922977,8.689110615878674,Mrs. Ashley Howard MD,sara24@example.org,3292574806,2021-01-12 00:00:00,2021-08-13 00:00:00,518.8969711342353,2407 Gordon Way Suite 858,Apt. 004,group,238.2205895605066,27.39509593592419,Yourself everything exist decision her rest he.,different
Walker-Calhoun,https://lee.info/,615214.9708460785,206880.20029501742,2020-03-14 00:00:00,2020-05-20 00:00:00,Premium,147,28,336,64.14380341235696,56.413368847730204,17.43050808658311,10.362861097145286,1.5245077791686146,5.79319230207838,16.145957264987672,2022-05-25 00:00:00,2022-05-27 00:00:00,2022-06-06 00:00:00,Pending,7.304280160711285,throw,BG,Kansas,38679,627 Graham Prairie,Suite 722,NO,Kentucky,45466,95424 Martinez Skyway,Apt. 104,serious,attack,112.6842333696845,111.52013601455496,28.185612834356725,1,0.6016934430423015,25.76161857923837,Dominique Garner,justinweiss@example.net,+1-281-379-7821x867,2022-09-23 00:00:00,2023-06-28 00:00:00,1734.5713457857314,85893 Allen Circle,Suite 534,design,145.85985679667422,8.67852964316031,Work brother half success even current current best tend class there job.,nation
Thompson-Wilson,https://warner.com/,548459.6068071304,137860.97602382023,2022-03-28 00:00:00,2023-03-25 00:00:00,Standard,355,34,408,131.57318399566958,125.1719098529563,3.4970164663063263,9.585038197794272,4.837213573430682,12.537075910676377,18.03807775495041,2021-08-16 00:00:00,2021-08-23 00:00:00,2021-08-18 00:00:00,Paid,2.2788304380060564,name,GD,Alaska,40047,778 Nguyen Shore,Apt. 156,US,Missouri,53594,22769 Smith Rue Suite 291,Suite 129,wear,true,142.14346232960995,132.25588782739496,20.809096522640882,1,2.428973694959047,27.932016354530727,Nancy Townsend,james69@example.net,256.368.6868,2020-07-05 00:00:00,2021-01-22 00:00:00,1280.015063489392,34602 Medina Station,Suite 845,your,17.70764603857799,23.72139370452122,Chair notice bank million cover bring three.,others
"Ellis, Scott and Yu",https://garcia.com/,752241.496028738,755740.2003316296,2021-06-11 00:00:00,2021-09-24 00:00:00,Premium,147,28,336,73.88423831793762,72.68361001006122,4.7262250645789265,7.380514447283093,1.859370739600545,6.598664527224969,3.5935980124945854,2020-11-11 00:00:00,2020-11-16 00:00:00,2020-11-15 00:00:00,Paid,17.445114199675135,partner,SV,Kansas,80259,509 Tapia Island,Apt. 401,KW,Hawaii,35126,7885 Brittany Ranch,Apt. 646,meet,sister,47.344747492404444,43.23649280461077,14.921166526844127,1,4.967508953096776,12.770519100746693,Robert Dickerson,martinezdanielle@example.net,(389)945-7348,2023-05-30 00:00:00,2024-01-18 00:00:00,1555.644395347484,400 Mary Forges,Suite 437,sound,39.28000859232247,22.580076746859653,Speak few buy religious fire leave give realize direction.,smile
Moreno and Sons,https://www.wilson.com/,788863.3323987774,590724.57540703,2022-07-11 00:00:00,2023-01-03 00:00:00,Premium,147,28,336,199.67406558185513,199.63963209289463,7.569188661002726,13.590440551422017,0.16949564921706406,13.959837763983721,1.580117739645801,2021-11-07 00:00:00,2021-11-10 00:00:00,2021-11-15 00:00:00,Paid,15.218259887053446,century,BH,Wyoming,86937,7140 Heather Mall Suite 636,Apt. 763,VA,Missouri,51428,28634 Matthew Corners,Apt. 108,ahead,eight,25.029081370923016,21.252072974327362,4.7600324763846,2,4.168164131471848,5.970431701610636,Danny Sanders,carterbailey@example.net,7413189551,2020-12-19 00:00:00,2021-02-01 00:00:00,464.9865960591546,03246 Sullivan Summit,Apt. 353,little,309.76582962292605,10.996174016421069,It value where easy list debate interview man Republican.,animal
Anderson and Sons,http://wilson.org/,755975.4411631576,469513.81598401826,2020-04-03 00:00:00,2020-06-26 00:00:00,Premium,147,28,336,53.277627560290995,49.094506750349964,3.874652538640362,11.931205381488564,3.9347611834409952,12.32573291706103,1.1213394489487505,2022-12-20 00:00:00,2022-12-22 00:00:00,2023-01-01 00:00:00,Pending,1.2750171483611195,peace,KR,Mississippi,67776,007 Stokes Spurs Suite 749,Suite 672,GN,New York,29781,07545 Barton Groves,Suite 796,improve,trade,265.28108778328135,257.33164795715567,0.9999372564122211,4,7.325008111488565,11.932316594497879,Tina Kim,charlenejimenez@example.org,(248)285-7219x217,2020-07-26 00:00:00,2021-02-05 00:00:00,1793.6593449187574,6888 Petersen Fall,Apt. 569,perform,402.0789148409602,26.32401143152544,Control arm impact eight house whose financial simply perhaps.,history
